Question_ID,Question_Text,Variable,Option_Text,Response_Scale
Q6,"In the following list, there are various groups of people. Could you identify any to which you would not like to have as a neighbour?",v28,"Musulmanes",1-2
Q6,"In the following list, there are various groups of people. Could you identify any to which you would not like to have as a neighbour?",v29,"Judíos",1-2
Q6,"In the following list, there are various groups of people. Could you identify any to which you would not like to have as a neighbour?",v30,"Gitanos",1-2
Q7,"Would you say that, in general, you can trust most people, or that one is never too careful when dealing with others?",v31,"¿Diría usted que, en general, se puede confiar en la mayoría de la gente?",1-2
Q8,"Tell me, please, how much trust do you have in people from different groups?",v32,"Su familia",1-4
Q8,"Tell me, please, how much trust do you have in people from different groups?",v33,"La gente de su vecindario",1-4
Q8,"Tell me, please, how much trust do you have in people from different groups?",v34,"Gente que Vd. conoce personalmente",1-4
Q8,"Tell me, please, how much trust do you have in people from different groups?",v35,"Gente a la que conoce por primera vez",1-4
Q8,"Tell me, please, how much trust do you have in people from different groups?",v36,"Gente de otra religión",1-4
Q8,"Tell me, please, how much trust do you have in people from different groups?",v37,"Gente de otra nacionalidad",1-4
Q9,"Some people think they have complete freedom of choice and control over how their life develops, others think that what they do has no real effect on what happens to them. Please use this scale to indicate how much freedom of choice and control you think you have over how your life develops",v38,"ninguna",1-10
Q10,"In general, to what extent are you satisfied with your life lately?",v39,"insatisfecho",1-10
Q11,"Here are some aspects of a job that people say are important. Look at them, please, and tell me which ones you personally think are important in a job.",v40,"Buenos ingresos",1-2
Q11,"Here are some aspects of a job that people say are important. Look at them, please, and tell me which ones you personally think are important in a job.",v41,"Buen horario",1-2
Q11,"Here are some aspects of a job that people say are important. Look at them, please, and tell me which ones you personally think are important in a job.",v42,"Oportunidades de tomar iniciativas",1-2
Q11,"Here are some aspects of a job that people say are important. Look at them, please, and tell me which ones you personally think are important in a job.",v43,"Amplias vacaciones",1-2
Q11,"Here are some aspects of a job that people say are important. Look at them, please, and tell me which ones you personally think are important in a job.",v44,"Un trabajo en donde piensas que puedes lograr algo",1-2
Q11,"Here are some aspects of a job that people say are important. Look at them, please, and tell me which ones you personally think are important in a job.",v45,"Un trabajo con responsabilidades",1-2
Q11,"Here are some aspects of a job that people say are important. Look at them, please, and tell me which ones you personally think are important in a job.",v45a,"Ninguna (respuesta espontánea)",1-2
Q12,"Please read the following list of organizations carefully and tell me your degree of agreement with each of the following sentences.",v46,"Se necesita tener un trabajo para desarrollar al completo las capacidades de uno",1-5
Q12,"Please read the following list of organizations carefully and tell me your degree of agreement with each of the following sentences.",v47,"Es humillante recibir dinero sin haber tenido que trabajar para ello.",1-5
Q12,"Please read the following list of organizations carefully and tell me your degree of agreement with each of the following sentences.",v48,"La gente que no trabaja se hace perezosa.",1-5
Q12,"Please read the following list of organizations carefully and tell me your degree of agreement with each of the following sentences.",v49,"El trabajo es un deber que se tiene para con la sociedad.",1-5
Q12,"Please read the following list of organizations carefully and tell me your degree of agreement with each of the following sentences.",v50,"El trabajo es siempre lo primero, aun cuando ello signifique menos tiempo libre.",1-5
Q13,"Do you belong to a religion?",v51,"¿Pertenece Vd. a alguna religión?",1-2
Q13a,"Which one?",v52,"cristiana",1-30
Q14,"Have you ever belonged to a religion?",v53,"¿Ha pertenecido alguna vez a una religión?",1-2
Q15,"Leaving aside weddings, funerals, baptisms, etc., how often do you go to church lately?",v54,"más de una vez a la semana",1-7
